"Company" "Current Price" "Prev Close Date" "Change" "Change %" "Week's Low/High"
"1" "Vedanta" 292.6 "269.2520-08-2021" 23.35 "8.67%" "261.00

                295.30"
"2" "Hindalco" 437.9 "403.6520-08-2021" 34.25 "8.49%" "399.50

                439.00"
"3" "Bajaj Finserv" 16195.6 "14978.5520-08-2021" 1217.05 "8.13%" "14800.05

                16799.00"
"4" "ONGC" 116.65 "110.2020-08-2021" 6.45 "5.85%" "108.50

                117.20"
"5" "Adani Ports &Special" 727 "687.2020-08-2021" 39.8 "5.79%" "665.00

                733.00"
"6" "Bajaj Finance" 6966.6 "6661.1020-08-2021" 305.5 "4.59%" "6455.65

                7054.00"
"7" "TCS" 3720.15 "3559.5020-08-2021" 160.65 "4.51%" "3500.00

                3729.50"
"8" "HCL Tech." 1162.95 "1117.3520-08-2021" 45.6 "4.08%" "1107.20

                1178.20"
"9" "Cipla" 923.9 "890.8520-08-2021" 33.05 "3.71%" "887.00

                925.45"
"10" "Reliance Industries" 2227.4 "2148.2520-08-2021" 79.15 "3.68%" "2132.30

                2244.90"
"11" "BPCL" 471.3 "455.2020-08-2021" 16.1 "3.54%" "448.10

                473.70"
"12" "Tech Mahindra" 1445.4 "1399.2020-08-2021" 46.2 "3.30%" "1370.65

                1478.00"
"13" "ICICI Bank" 699.75 "680.7020-08-2021" 19.05 "2.80%" "673.85

                701.55"
"14" "Larsen & Toubro" 1638.1 "1593.6020-08-2021" 44.5 "2.79%" "1567.90

                1666.70"
"15" "Wipro" 634.95 "620.0520-08-2021" 14.9 "2.40%" "618.00

                642.80"
"16" "Indian Oil Corp." 105.95 "103.5020-08-2021" 2.45 "2.37%" "102.20

                106.95"
"17" "GAIL India" 143.5 "140.3520-08-2021" 3.15 "2.24%" "140.00

                148.00"
"18" "Hindustan Unilever" 2677.95 "2619.4020-08-2021" 58.55 "2.24%" "2476.00

                2697.80"
"19" "HDFC Bank" 1548.45 "1514.7520-08-2021" 33.7 "2.22%" "1486.05

                1571.00"
"20" "Coal India" 138.55 "135.6020-08-2021" 2.95 "2.18%" "132.75

                139.40"
"21" "Axis Bank" 752.4 "740.2520-08-2021" 12.15 "1.64%" "731.50

                759.60"
"22" "SBI" 412.45 "406.7020-08-2021" 5.75 "1.41%" "401.25

                421.30"
"23" "Sun Pharma Inds." 771.8 "761.1520-08-2021" 10.65 "1.40%" "743.35

                784.45"
"24" "Britannia Inds" 3941.55 "3895.9520-08-2021" 45.6 "1.17%" "3635.30

                3972.95"
"25" "Indusind Bank" 990.2 "979.4520-08-2021" 10.75 "1.10%" "964.10

                1013.90"
"26" "Dr. Reddys Lab" 4600.55 "4556.0020-08-2021" 44.55 "0.98%" "4445.70

                4659.90"
"27" "Ultratech Cement" 7565.6 "7493.3520-08-2021" 72.25 "0.96%" "7288.00

                7624.90"
"28" "Tata Motors" 285.75 "283.1020-08-2021" 2.65 "0.94%" "268.45

                290.70"
"29" "Tata Steel" 1384.15 "1375.6020-08-2021" 8.55 "0.62%" "1310.75

                1447.00"
"30" "Kotak Mahindra Bank" 1713.55 "1703.5520-08-2021" 10 "0.59%" "1688.90

                1732.00"
"31" "Zee Entertainment" 170.75 "170.4520-08-2021" 0.3 "0.18%" "166.80

                175.70"
"32" "UPL" 729.25 "728.2520-08-2021" 1 "0.14%" "714.50

                757.80"


