Company,CurrentPrice,PrevCloseDate,Change,Change,%Week'sLow/High
Vedanta,292.60,269.25 20-08-2021,23.35,8.67%,261.00\r\n 295.30
Hindalco	437.90	403.6520-08-2021	34.25	8.49%	399.50\r\n 439.00
Bajaj Finserv	16195.60	14978.5520-08-2021	1217.05	8.13%	14800.05\r\n 16799.00
ONGC	116.65	110.2020-08-2021	6.45	5.85%	108.50\r\n 117.20
Adani Ports &Special	727.00	687.2020-08-2021	39.80	5.79%	665.00\r\n 733.00
Bajaj Finance	6966.60	6661.1020-08-2021	305.50	4.59%	6455.65\r\n 7054.00
TCS	3720.15	3559.5020-08-2021	160.65	4.51%	3500.00\r\n 3729.50
HCL Tech.	1162.95	1117.3520-08-2021	45.60	4.08%	1107.20\r\n 1178.20
Cipla	923.90	890.8520-08-2021	33.05	3.71%	887.00\r\n 925.45
Reliance Industries	2227.40	2148.2520-08-2021	79.15	3.68%	2132.30\r\n 2244.90
BPCL	471.30	455.2020-08-2021	16.10	3.54%	448.10\r\n 473.70
Tech Mahindra	1445.40	1399.2020-08-2021	46.20	3.30%	1370.65\r\n 1478.00
ICICI Bank	699.75	680.7020-08-2021	19.05	2.80%	673.85\r\n 701.55
Larsen & Toubro	1638.10	1593.6020-08-2021	44.50	2.79%	1567.90\r\n 1666.70
Wipro	634.95	620.0520-08-2021	14.90	2.40%	618.00\r\n 642.80
Indian Oil Corp.	105.95	103.5020-08-2021	2.45	2.37%	102.20\r\n 106.95
GAIL India	143.50	140.3520-08-2021	3.15	2.24%	140.00\r\n 148.00
Hindustan Unilever	2677.95	2619.4020-08-2021	58.55	2.24%	2476.00\r\n 2697.80
HDFC Bank	1548.45	1514.7520-08-2021	33.70	2.22%	1486.05\r\n 1571.00
Coal India	138.55	135.6020-08-2021	2.95	2.18%	132.75\r\n 139.40
Axis Bank	752.40	740.2520-08-2021	12.15	1.64%	731.50\r\n 759.60
SBI	412.45	406.7020-08-2021	5.75	1.41%	401.25\r\n 421.30
Sun Pharma Inds.	771.80	761.1520-08-2021	10.65	1.40%	743.35\r\n 784.45
Britannia Inds	3941.55	3895.9520-08-2021	45.60	1.17%	3635.30\r\n 3972.95
Indusind Bank	990.20	979.4520-08-2021	10.75	1.10%	964.10\r\n 1013.90
Dr. Reddys Lab	4600.55	4556.0020-08-2021	44.55	0.98%	4445.70\r\n 4659.90
Ultratech Cement	7565.60	7493.3520-08-2021	72.25	0.96%	7288.00\r\n 7624.90
Tata Motors	285.75	283.1020-08-2021	2.65	0.94%	268.45\r\n 290.70
Tata Steel	1384.15	1375.6020-08-2021	8.55	0.62%	1310.75\r\n 1447.00
Kotak Mahindra Bank	1713.55	1703.5520-08-2021	10.00	0.59%	1688.90\r\n 1732.00
Zee Entertainment	170.75	170.4520-08-2021	0.30	0.18%	166.80\r\n 175.70
UPL	729.25	728.2520-08-2021	1.00	0.14%	714.50\r\n 757.80
